startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99
2017-08-25,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,1879,12393.87,896.7565,1593.789,3140.65,4874.724
2017-08-28,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,3087,9379.798,937.5313,1625.162,3125.146,4865.833
2017-08-29,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,2423,17322.49,1015.904,1841.217,3485.751,6843.911
2017-08-30,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,2514,12337.59,1017.233,1750.038,3141.301,4859.324
2017-08-31,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,2148,13450.48,1031.287,1779.648,3333.825,4999.574
2017-09-01,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,1613,6622.418,1016.335,1708.412,2937.737,4109.458
2017-09-04,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,1489,32771.7,1029.757,1922.523,4593.76,10360.66
2017-09-05,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,3141,16088.12,918.788,1593.788,3126.181,4901.321
2017-09-06,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,3222,15890.74,953.0944,1628.957,3030.274,5028.779
2017-09-07,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,2478,23889.94,938.3147,1636.395,3053.544,4940.03
2017-09-08,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,2326,30641.56,935.969,1594.494,2862.814,4615.834
2017-09-11,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,3299,13143.4,937.5112,1614.851,2964.599,4768.844
2017-09-12,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,4744,10891.52,874.9914,1608.218,3049.095,5344.094
2017-09-13,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,2794,60199.53,921.8756,1686.141,3721.64,42363.52
2017-09-14,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,2367,60009.86,986.2976,1752.475,3344.791,6399.25
2017-09-15,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,2116,60013.48,890.7407,1515.683,3156.4,8170.642
2017-09-18,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,2912,10314.23,937.5222,1640.64,2978.818,4389.271
2017-09-19,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,3403,9593.818,860.5824,1546.973,2919.629,4640.112
